t_global,episode,t,action,belief_toxic,inventory,regime,reward
383,19,3,0,0.0906,0,0,2.0
384,19,4,2,0.0451,1,0,-0.35
385,19,5,0,0.0313,0,0,2.0
386,19,6,0,0.0272,1,0,1.95
387,19,7,2,0.026,2,0,-0.4
388,19,8,0,0.0257,1,0,1.95
389,19,9,2,0.0256,2,0,-0.4
390,19,10,0,0.0256,1,0,1.95
391,19,11,2,0.0256,2,0,-0.4
392,19,12,2,0.0256,1,0,-0.35
393,19,13,1,0.2575,0,0,-0.0
394,19,14,0,0.1018,0,0,2.0
395,19,15,2,0.0486,1,0,-0.35
396,19,16,0,0.0323,0,0,2.0
397,19,17,2,0.2723,1,0,-0.35
398,19,18,0,0.1074,0,0,2.0
399,19,19,2,0.0503,1,0,-0.35
400,20,0,1,0.2,0,0,-0.0
401,20,1,0,0.0811,0,0,2.0
402,20,2,2,0.0421,1,0,-0.35
403,20,3,1,0.2931,0,0,-0.0
404,20,4,0,0.1154,0,0,2.0
405,20,5,2,0.0529,1,0,-0.35
406,20,6,0,0.0336,0,0,2.0
407,20,7,2,0.2751,1,1,-1.55
408,20,8,1,0.6166,0,1,-0.0
409,20,9,1,0.8306,0,1,-0.0
410,20,10,1,0.9057,0,1,-0.0
411,20,11,1,0.9263,0,1,-0.0
412,20,12,1,0.9316,0,1,-0.0
413,20,13,1,0.5125,0,0,-0.0
414,20,14,0,0.2133,0,0,2.0
415,20,15,1,0.5536,1,0,-0.05
416,20,16,2,0.2349,1,0,-0.35
417,20,17,1,0.0935,0,0,-0.0
418,20,18,1,0.3892,0,1,-0.0
419,20,19,1,0.708,0,1,-0.0
420,21,0,1,0.2,0,0,-0.0
421,21,1,0,0.0811,0,0,2.0
422,21,2,2,0.0421,1,0,-0.35
423,21,3,0,0.0304,0,0,2.0
424,21,4,0,0.027,1,0,1.95
425,21,5,2,0.026,2,0,-0.4
426,21,6,2,0.2584,1,0,-0.35
427,21,7,0,0.1022,0,0,2.0
428,21,8,2,0.0487,1,0,-0.35
429,21,9,0,0.0323,0,0,2.0
430,21,10,0,0.0275,1,0,1.95
431,21,11,2,0.0261,2,0,-0.4
432,21,12,2,0.0257,1,0,-0.35
433,21,13,0,0.0256,0,0,2.0
434,21,14,2,0.0256,1,0,-0.35
435,21,15,1,0.2575,0,0,-0.0
436,21,16,0,0.1018,0,0,2.0
437,21,17,2,0.0486,1,0,-0.35
438,21,18,0,0.0323,0,0,2.0
439,21,19,2,0.0275,1,0,-0.35
440,22,0,1,0.2,0,0,-0.0
441,22,1,0,0.0811,0,0,2.0
442,22,2,2,0.0421,1,0,-0.35
443,22,3,0,0.0304,0,0,2.0
444,22,4,0,0.027,1,0,1.95
445,22,5,2,0.026,2,0,-0.4
446,22,6,0,0.0257,1,0,1.95
447,22,7,2,0.0256,2,0,-0.4
448,22,8,0,0.0256,1,0,1.95
449,22,9,2,0.2575,2,1,-1.6
450,22,10,1,0.5998,1,1,-0.05
451,22,11,1,0.8235,1,1,-0.05
452,22,12,1,0.4148,1,1,-0.05
453,22,13,2,0.1663,1,0,-0.35
454,22,14,0,0.0695,0,0,2.0
455,22,15,0,0.0386,1,0,1.95
456,22,16,2,0.0294,2,0,-0.4
457,22,17,2,0.2659,1,1,-1.55
458,22,18,1,0.608,0,1,-0.0
459,22,19,1,0.827,0,1,-0.0
460,23,0,1,0.2,0,1,-0.0
461,23,1,0,0.0811,0,0,2.0
462,23,2,2,0.0421,1,0,-0.35
463,23,3,1,0.2931,0,0,-0.0
464,23,4,1,0.633,0,0,-0.0
465,23,5,1,0.2804,0,0,-0.0
466,23,6,0,0.1105,0,0,2.0
467,23,7,1,0.4169,1,0,-0.05
468,23,8,2,0.1673,1,0,-0.35
469,23,9,0,0.0699,0,0,2.0
470,23,10,2,0.0387,1,0,-0.35
471,23,11,0,0.0294,0,0,2.0
472,23,12,2,0.0267,1,0,-0.35
473,23,13,0,0.0259,0,0,2.0
474,23,14,2,0.0256,1,0,-0.35
475,23,15,0,0.0256,0,0,2.0
476,23,16,2,0.0256,1,0,-0.35
477,23,17,0,0.0256,0,0,2.0
478,23,18,2,0.0256,1,0,-0.35
479,23,19,1,0.0256,0,0,-0.0
480,24,0,1,0.2,0,0,-0.0
481,24,1,0,0.0811,0,0,2.0
482,24,2,2,0.0421,1,0,-0.35
483,24,3,0,0.0304,0,0,2.0
484,24,4,0,0.027,1,0,1.95
485,24,5,2,0.2606,2,1,-1.6
486,24,6,1,0.6029,1,0,-0.05
487,24,7,2,0.2625,1,0,-0.35
488,24,8,1,0.6047,0,0,-0.0
489,24,9,1,0.2636,0,0,-0.0
490,24,10,0,0.1041,0,0,2.0
491,24,11,2,0.0493,1,0,-0.35
492,24,12,1,0.3077,0,0,-0.0
493,24,13,1,0.6456,0,0,-0.0
494,24,14,1,0.8426,0,1,-0.0
495,24,15,1,0.9091,0,1,-0.0
496,24,16,1,0.9272,0,0,-0.0
497,24,17,1,0.5082,0,0,-0.0
498,24,18,0,0.211,0,0,2.0
499,24,19,2,0.5511,1,0,-0.35
500,25,0,1,0.2,0,0,-0.0
501,25,1,1,0.5385,0,0,-0.0
502,25,2,1,0.2268,0,0,-0.0
503,25,3,0,0.0906,0,0,2.0
504,25,4,2,0.0451,1,0,-0.35
505,25,5,0,0.0313,0,0,2.0
506,25,6,0,0.0272,1,0,1.95
507,25,7,2,0.026,2,0,-0.4
508,25,8,2,0.2586,1,1,-1.55
509,25,9,1,0.6009,0,1,-0.0
510,25,10,1,0.8239,0,1,-0.0
511,25,11,1,0.9037,0,1,-0.0
512,25,12,1,0.9258,0,1,-0.0
513,25,13,1,0.9314,0,1,-0.0
514,25,14,1,0.5124,0,1,-0.0
515,25,15,1,0.2132,0,1,-0.0
516,25,16,0,0.0857,0,1,-4.0
517,25,17,0,0.0436,1,1,-4.05
518,25,18,2,0.2961,2,1,-1.6
519,25,19,2,0.1165,1,0,-0.35
520,26,0,1,0.2,0,0,-0.0
521,26,1,0,0.0811,0,0,2.0
522,26,2,1,0.3677,1,0,-0.05
523,26,3,2,0.1457,1,0,-0.35
524,26,4,0,0.0627,0,0,2.0
525,26,5,0,0.0365,1,0,1.95
526,26,6,2,0.0288,2,0,-0.4
527,26,7,0,0.0265,1,0,1.95
528,26,8,2,0.0258,2,0,-0.4
529,26,9,0,0.0256,1,0,1.95
530,26,10,2,0.0256,2,0,-0.4
